entity,start_index,end_index,label,score
DE,72,73,ORG,0.46097156405448914
Sri,95,97,PER,0.9822758436203003
Chothmal Josh,96,108,PER,0.9434350728988647
Hindu,102,106,MISC,0.7852696776390076
Joshi Ku,118,125,LOC,0.9782644510269165
Akashwani,125,133,LOC,0.8369563817977905
Se,132,133,LOC,0.3407151997089386
Siliguri,136,143,LOC,0.9885278344154358
West Bengal,141,151,LOC,0.9994405508041382
Limited Company,230,244,ORG,0.5766188502311707
Indian Companies Act,235,254,MISC,0.978772759437561
Ashiana,254,260,LOC,0.9892670512199402
Exhibition Road Patna,258,278,LOC,0.9827379584312439
Bihar,265,269,LOC,0.9982702136039734
YOD,337,339,ORG,0.5128901600837708
Ph Sunwar,348,356,PER,0.9737324118614197
Hindu,354,358,MISC,0.92586749792099
Turibari,368,375,LOC,0.6666926741600037
Junglee Mohal,372,384,LOC,0.9666717052459717
Saluga,381,386,LOC,0.9301097989082336
West Bengal,405,415,LOC,0.9410836100578308
Se,466,467,LOC,0.3809216022491455
B,485,485,LOC,0.4099874198436737
Si,500,501,LOC,0.46149393916130066
