entity,start_index,end_index,label,score
Chennai,20,26,LOC,0.9980943202972412
BWN k Sauneswaran,34,50,PER,0.9861370325088501
G Kasinath Rao,51,64,PER,0.9980236291885376
Venkateswara nagar,69,86,LOC,0.986315131187439
IsM,77,79,LOC,0.6534085869789124
Velachery,83,91,LOC,0.9924761056900024
Chennai,88,94,LOC,0.9986032843589783
Tamil Nadu,92,101,LOC,0.9986860156059265
R Mathankumar,107,119,PER,0.9977831840515137
Ramasamy,115,122,PER,0.9974931478500366
Madha kovil,133,143,LOC,0.9832556843757629
Ganesapuram,140,150,LOC,0.9954777359962463
Namakkal,145,152,LOC,0.9983969330787659
Venkateswara nagar,188,205,LOC,0.9806546568870544
Velachery,200,208,LOC,0.9937242269515991
Chennai,205,211,LOC,0.9988307952880859
Tamil Nadu,209,218,LOC,0.9986933469772339
English,348,354,MISC,0.9918860197067261
